sr_no,date,startup_name,subvertical,city,investors,investment_type,amount_usd,remarks,year,industry
2741,NaT,zinka,,bangalore,"accel partners, flipkart",private equity,6000000.0,series a,,logistics
2742,NaT,creditmantri,,chennai,"idg ventures india, elevar equity, accion venture lab",private equity,2500000.0,series a,,technology
2743,NaT,getmypeon,,mumbai,undisclosed investors,seed funding,250000.0,,,other
2744,NaT,urbanclap,,delhi,"saif partners, xc2 xa0 accel partners",private equity,10000000.0,series a,,ecommerce
2745,NaT,stayglad,,bangalore,"tracxn labs, sahil barua",seed funding,,,,ecommerce
2746,NaT,adwyze,,bangalore,mape advisory,seed funding,1000000.0,,,mobility
2747,NaT,zimmber,,mumbai,"naveen tiwari, mohit saxena, amit gupta, piyush shah, manish dugar",seed funding,400000.0,,,other
2748,NaT,buttercups,,bangalore,"kanwaljit singh, angie mahtaney, manoj varghese",seed funding,,,,other
2749,NaT,railyatri,,bangalore,"helion ventures, omidiyar network, blume ventures and ujama",private equity,,pre-series a,,technology
2750,NaT,aagaar.com,,gurgaon,group of investors,seed funding,,,,food
2751,NaT,flatchat,,bangalore,commonfloor,private equity,2500000.0,strategic funding,,real_estate
2752,NaT,mycfo,,mumbai,sameer koticha,private equity,1500000.0,series a,,fintech
2753,2015-01-05,foodpanda,,gurgaon,"goldman sachs, rocket internet",private equity,100000000.0,series d,2015.0,food
2754,2015-01-05,termsheet,,chennai,"anand vijay, nipun dureja, satyajit heeralal, keith rodricks, gaurav lochan, azmul haque, nikhil bagri",seed funding,100000.0,,2015.0,technology
2755,2015-04-05,applicate,,bangalore,"rishi vasudev, amit gupta, rajiv nayan",seed funding,550000.0,,2015.0,technology
2756,2015-04-05,world art community,,gurgaon,viraj tyagi & others,seed funding,200000.0,,2015.0,ecommerce
2757,2015-04-05,spoonjoy,,bangalore,saif partners,seed funding,1000000.0,,2015.0,food
2758,2015-05-05,seed schools,,hyderabad,acumen fund,seed funding,650000.0,,2015.0,edtech
2759,2015-05-05,ignis careers,,hyderabad,acumen fund,seed funding,250000.0,,2015.0,other
2760,2015-05-05,square yards,,gurgaon,undisclosed investors,private equity,6000000.0,pre-series a,2015.0,real_estate
2761,2015-05-05,fintellix,,bangalore,"idg ventures, sequoia capital",private equity,15000000.0,series c,2015.0,other
2762,2015-05-05,customer360,,mumbai,vishwas patel,seed funding,,,2015.0,other
2763,2015-06-05,delhivery,,gurgaon,"tiger global management, multiples alternate asset management, nexus venture partners, times internet",private equity,85000000.0,series d,2015.0,logistics
2764,2015-06-05,swiggy,,bangalore,norwest venture partners,private equity,15000000.0,series b,2015.0,food
2765,2015-07-05,uniphore,,chennai,"idg ventures, kris gopalakrishnan",private equity,,series a,2015.0,technology
2766,2015-07-05,box8,,mumbai,mayfield ventures,private equity,3500000.0,series a,2015.0,food
2767,2015-07-05,toppr,,mumbai,"fidelity growth partners india, saif partners, xc2 xa0 helion ventures",private equity,10000000.0,series b,2015.0,edtech
2768,2015-07-05,vedantu,,bangalore,"accel partners, tiger global management",private equity,5000000.0,series a,2015.0,edtech
2769,2015-08-05,buyhatke,,bangalore,"s.gopalakrishnan, beenos",seed funding,1000000.0,,2015.0,other
2770,2015-08-05,kleverkid,,delhi,aarin capital partners,seed funding,,,2015.0,edtech
2771,2015-08-05,uniken,,pune,exfinity ventures,private equity,2000000.0,bridge round pre-series b,2015.0,technology
2772,2015-08-05,grandopinion,,delhi,florida based angel investor,seed funding,150000.0,,2015.0,healthcare
2773,2015-08-05,healthifyme,,bangalore,micromax informatics,private equity,,strategic investment,2015.0,healthcare
2774,2015-12-05,zapstitch,,bangalore,"helion venture partners, orios venture partners",private equity,2000000.0,pre-series a,2015.0,technology
2775,2015-12-05,wassup,,chennai,"arun chandra mohan, praveen sinha",private equity,2000000.0,pre-series a,2015.0,other
2776,NaT,mobiefit,,goa,prototyze,seed funding,,,,technology
2777,NaT,plancess,,mumbai,"rajendra gogri, xc2 xa0 chandrakant gogri",seed funding,2000000.0,,,edtech
2778,2015-12-05,workhorse,,mumbai,undisclosed investors,seed funding,,,2015.0,other
2779,NaT,innovaccer,,noida,"rajan anandan, teru sato, aneesh reddy, venkatesh valluri",seed funding,,,,technology
2780,NaT,mycuteoffice,,mumbai,lead angels,seed funding,,,,real_estate
2781,NaT,indianroots.com,,gurgaon,kjs group,private equity,5000000.0,series b,,ecommerce
2782,NaT,redpolka,,mumbai,undisclosed investors,seed funding,250000.0,,,other
2783,NaT,venturesity,,bangalore,"phanindra sama, jay sethuram, hemant kanakia, ravi trivedi",seed funding,270000.0,,,edtech
2784,NaT,thebetterindia.com,,bangalore,mohandas pai,seed funding,,pre-series bridge,,media_entertainment
2785,NaT,awaaz de,,ahmedabad,samir shah,seed funding,,,,other
2786,NaT,chaayos,,delhi,tiger global management,private equity,1000000.0,series a,,technology
2787,NaT,akosha,,delhi,sequoia capital,private equity,16000000.0,series b,,other
2788,NaT,cooey,,bangalore,subhash goyal,seed funding,470000.0,,,healthcare
2789,NaT,meetuniv,,noida,peesh venture capital,seed funding,1000000.0,,,technology
2790,NaT,inspirock,,,makemytrip innovation fund,private equity,,,,other
2791,NaT,crown-it,,gurgaon,"accel partners, helion venture partners",private equity,5500000.0,series a,,ecommerce
2792,NaT,trucksfirst,,gurgaon,saif partners,private equity,10000000.0,series a,,other
2793,NaT,lookup,,bangalore,biz stone,private equity,3000000.0,series a,,other
2794,NaT,sunterrace,,delhi,sunergy investors,private equity,,,,other
2795,NaT,xc2xa0nudgespot,,bangalore,"kae capital, anoop goyal, mike shah, va sastry",seed funding,625000.0,,,other
2796,NaT,cardekho,,jaipur,hdfc bank,private equity,,1 stake,,other
2797,NaT,eveningflavors,,bangalore,sandiep shrivatsava,seed funding,500000.0,,,other
2798,NaT,razorpay,,bangalore,punit soni,seed funding,,,,fintech
2799,NaT,zenparent,,bangalore,i2india ventures,seed funding,500000.0,,,media_entertainment
2800,NaT,newgen payments,,delhi,jan manten,seed funding,,,,fintech
2801,NaT,urbanpro,,bangalore,nirvana venture advisors,private equity,2000000.0,series a,,ecommerce
2802,NaT,goodbox,,bangalore,manipal group,seed funding,200000.0,,,other
2803,NaT,renderlogy,,hyderabad,astarc ventures,private equity,1000000.0,series a,,other
2804,NaT,postman,,bangalore,nexus venture partners,seed funding,1000000.0,series a,,other
2805,NaT,casa2inns,,delhi,"accel partners, kalaari capital",private equity,5000000.0,series a,,other
2806,NaT,fleetrover,,goa,"tim chen, sanjay venkat",seed funding,180000.0,,,logistics
2807,NaT,thekarrier,,bangalore,"sol primero, outbox ventures, nikunj jain",seed funding,240000.0,,,logistics
2808,NaT,zoomcar,,bangalore,sequoia capital,private equity,5000000.0,series b interim funding,,real_estate
2809,NaT,truweight,,hyderabad,kalaari capital,private equity,,series a,,other
2810,NaT,ather energy,,bangalore,tiger global,private equity,12000000.0,series a,,other
2811,2015-03-04,swiggy,,bangalore,"accel partners, saif partners",private equity,2000000.0,series a,2015.0,food
2812,2015-04-04,bluegape,,gurgaon,"rudy gopalakrishnan, ah ventures",seed funding,200000.0,,2015.0,media_entertainment
2813,2015-04-04,keeptrax,,dallas,,seed funding,1000000.0,,2015.0,other
2814,2015-06-04,instalively,,delhi,"rajesh sawheny , rajan anandan, amit ranjan, niraj singh, aecal, meraevents.",seed funding,120000.0,,2015.0,media_entertainment
2815,2015-07-04,pricejugaad,,hyderabad,"amit tyagi, sandeep acharya & others",seed funding,165000.0,,2015.0,other
2816,2015-07-04,quikr,,mumbai,"tiger global, investment ab kinnevik, steadview capital",private equity,150000000.0,series g (check prev funding details here),2015.0,other
2817,2015-07-04,pressplay,,delhi,"sequoia capital, jason hirschhorn, jarett posner, and amit bhatiani",seed funding,2200000.0,,2015.0,media_entertainment
2818,2015-07-04,loginext,,mumbai,"ajit surana, sanjay mehta",seed funding,,,2015.0,logistics
2819,2015-08-04,firstcry.com,,pune,"silicon valley ventures, nea ventures, valiant capital, idg ventures india, xc2 xa0 saif partners, vertex ventures",private equity,10000000.0,"series d ( in feb it was announced they raised 26m, but it is 36m, so added here)",2015.0,ecommerce
2820,2015-08-04,mobikwik,,gurgaon,"tree line asia, cisco investments, american express, sequoia capital",private equity,25000000.0,series b,2015.0,technology
2821,2015-08-04,olacabs,,bangalore,"dst global, steadview capital, tiger global, accel partners & others",private equity,400000000.0,series e (updated from 315m to 400m after press release),2015.0,mobility
2822,2015-09-04,gadgetwood,,delhi,"ajai chowdhry, ashvin chadha, yogesh bansal, nnitin singhal & others",seed funding,200000.0,,2015.0,technology
2823,2015-09-04,bonhomia,,delhi,"kanwaljit singh, shripad nadkarni, sarvesh shahra & others",seed funding,2000000.0,,2015.0,food
2824,2015-09-04,changer mints,,kolkata,hyderabad based investor,seed funding,165000.0,,2015.0,technology
2825,2015-09-04,urban ladder,,bangalore,"sequoia capital, tr capital, steadview capital, saif partners, kalaari capital",private equity,50000000.0,series c,2015.0,ecommerce
